"precision";"recall";"f1";"accuracy";"total";"type";"threshold"
"28,11615750093955";"53,96540478936674";"33,27358334796632";"58,391003460207614";"1156";"ALL";"0,6"
"7,855817398500319";"34,146341463414636";"11,873307361112232";"34,146341463414636";"246";"BeginsAt";"0,6"
"21,409066451439333";"41,03892027620841";"25,572103087714144";"44,067796610169495";"177";"tookPlaceAt";"0,6"
"46,09997152844659";"91,45299145299145";"56,72033064173529";"91,45299145299145";"117";"carriedOutBy";"0,6"
"45,26702712957694";"86,85258964143426";"54,68541418740622";"86,85258964143426";"251";"showsFeatures";"0,6"
"49,60558283232704";"60,96991509782209";"52,05465919376206";"77,51937984496124";"129";"fallsWithin";"0,6"
"21,707436652882574";"48,79928315412186";"26,631341749351378";"64,51612903225806";"93";"hadParticipant";"0,6"
"12,5";"12,5";"12,5";"12,5";"8";"hadParticipantBegins";"0,6"
"25,5374568933891";"29,09604519774011";"23,10310217089878";"45,76271186440678";"59";"falltookPlace";"0,6"
"0";"0";"0";"0";"76";"fallhasTimeSpan";"0,6"
"29,629470985425197";"49,59228215095561";"33,663121858335124";"53,673469387755105";"980";"ALL";"0,7"
"10,085752390947194";"33,76623376623377";"14,016195444766868";"33,76623376623377";"231";"BeginsAt";"0,7"
"22,30266465560583";"38,81766381766382";"26,068422318422304";"39,743589743589745";"156";"tookPlaceAt";"0,7"
"50,68315544608649";"89,65517241379311";"60,54720392051725";"89,65517241379311";"116";"carriedOutBy";"0,7"
"46,85854341736695";"71,17647058823529";"52,91736694677871";"71,17647058823529";"170";"showsFeatures";"0,7"
"52,27637346627731";"63,059752747252745";"54,90724072439953";"77,88461538461539";"104";"fallsWithin";"0,7"
"27,349059826373797";"47,452107279693486";"30,24198771348339";"63,2183908045977";"87";"hadParticipant";"0,7"
"16,666666666666668";"16,666666666666668";"16,666666666666668";"16,666666666666668";"6";"hadParticipantBegins";"0,7"
"29,929543245869777";"29,76190476190476";"24,99204876755897";"48,97959183673469";"49";"falltookPlace";"0,7"
"0";"0";"0";"0";"61";"fallhasTimeSpan";"0,7"
"34,086182091751";"50,87219258381083";"37,643285813166216";"55,87828492392808";"723";"ALL";"0,8"
"14,710759113744187";"34,82587064676617";"18,449789569192546";"34,82587064676617";"201";"BeginsAt";"0,8"
"28,914373088685018";"42,6605504587156";"32,769768457841856";"43,11926605504587";"109";"tookPlaceAt";"0,8"
"56,91528925619834";"90";"65,84225795469813";"90";"110";"carriedOutBy";"0,8"
"47,35294117647059";"58,8235294117647";"50,47058823529413";"58,8235294117647";"85";"showsFeatures";"0,8"
"52,979175996417375";"61,424466338259435";"55,03687079164817";"80,45977011494253";"87";"fallsWithin";"0,8"
"31,630426043255";"47,95833333333333";"33,79138602625444";"63,75";"80";"hadParticipant";"0,8"
"0";"0";"0";"0";"3";"hadParticipantBegins";"0,8"
"37,01587301587301";"35";"30,387205387205384";"56,666666666666664";"30";"falltookPlace";"0,8"
"0";"0";"0";"0";"18";"fallhasTimeSpan";"0,8"
"39,776420874272894";"49,85026707580407";"41,21366758563167";"55,8472553699284";"419";"ALL";"0,9"
"16,240510697032438";"25,36231884057971";"18,13146997929606";"25,36231884057971";"138";"BeginsAt";"0,9"
"40,48076923076924";"54,80769230769231";"44,658119658119666";"55,76923076923077";"52";"tookPlaceAt";"0,9"
"63,760351966873706";"85,59782608695652";"70,15527950310555";"85,8695652173913";"92";"carriedOutBy";"0,9"
"50";"50";"50";"50";"16";"showsFeatures";"0,9"
"62,583333333333336";"68,47321428571428";"63,68974081474082";"87,5";"40";"fallsWithin";"0,9"
"38,90228818800246";"46,402116402116405";"37,07332738845345";"65,07936507936508";"63";"hadParticipant";"0,9"
"0";"0";"0";"0";"2";"hadParticipantBegins";"0,9"
"53,84615384615385";"15,384615384615385";"23,589743589743588";"53,84615384615385";"13";"falltookPlace";"0,9"
"0";"0";"0";"0";"3";"fallhasTimeSpan";"0,9"
